,Country name,HALE 2015,HALE 2016,HALE 2017,HALE 2018,HALE 2019,HALE 2020
124,Kenya,0.41435,0.30147,0.30998835,0.454,0.581,0.536312759
125,Djibouti,0.36291,0.47115,0.473756388,0.56,0.698,0.656085015
126,Armenia,0.7299,0.64083,0.637524426,0.666,0.815,0.77585727
127,Botswana,0.04776,0.34752,0.341755509,0.417,0.538,0.494101733
128,Myanmar,0.48246,0.3988,0.397522569,0.429,0.555,0.495443076
129,Georgia,0.72926,0.64035,0.649546981,0.643,0.752,0.694657624
130,Malawi,0.22562,0.29364,0.315089583,0.306,0.495,0.446163297
131,Sri Lanka,0.70806,0.62007,0.625130832,0.672,0.831,0.792036712
132,Cameroon,0.23402,0.12698,0.132892117,0.182,0.331,0.270189553
133,Bulgaria,0.76649,0.67806,0.70821768,0.712,0.815,0.777776897
134,Egypt,0.61712,0.52116,0.520187259,0.553,0.644,0.596911311
135,Yemen,0.40064,0.31048,0.310080916,0.343,0.463,0.41500017
136,Angola,0.16683,0.04991,0.049868666,0.269,0.3855,0.324990846
137,Mali,0.20583,0.16347,0.169365674,0.152,0.308,0.234981522
138,Congo (Brazzaville),0.31051,0.28212,0.289957434,0.343,0.508,0.458101124
139,Comoros,0.36315,0.29981,0.25379502,0.29,0.4755,0.418206394
140,Uganda,0.33861,0.19625,0.217632607,0.237,0.443,0.378311664
141,Senegal,0.4354,0.40457,0.409362853,0.433,0.571,0.518391907
142,Gabon,0.43372,0.3494,0.356578588,0.404,0.571,0.522574842
143,Niger,0.29707,0.26162,0.268505007,0.221,0.366,0.298816353
144,Cambodia,0.61114,0.42494,0.429783404,0.457,0.637,0.587904334
145,Tanzania,0.38215,0.357,0.364509284,0.381,0.499,0.442677855
146,Madagascar,0.46721,0.37109,0.375223309,0.402,0.555,0.500617027
147,Central African Republic,0.06699,0.204665,0.208179012,0.2275,0.3735,0.304680564
148,Chad,0.1501,0.03824,0.041134715,0.053,0.192,0.1087441
149,Guinea,0.24009,0.18829,0.194129139,0.211,0.375,0.333655238
150,Ivory Coast,0.15185,0.04476,0.04864217,0.08,0.232,0.154942513
151,Burkina Faso,0.27125,0.21297,0.215844259,0.254,0.38,0.312833875
152,Afghanistan,0.30335,0.17344,0.180746779,0.255,0.361,0.266051531
153,Rwanda,0.42864,0.31865,0.326424807,0.4,0.614,0.572383285
154,Benin,0.3191,0.21028,0.209930211,0.24,0.397,0.328062952
155,Syria,0.72193,0.62994,0.500533342,0.539,0.44,0.311637894
156,Burundi,0.22396,0.15747,0.151610792,0.145,0.38,0.295212835
157,Togo,0.28443,0.24811,0.247105569,0.253,0.41,0.342731178
