,Country name,GDP 2015,GDP 2016,GDP 2017,GDP 2018,GDP 2019,GDP 2020
0,Switzerland,1.3965100000000001,1.5273299999999999,1.5649795532226598,1.42,1.452,1.39077425
1,Iceland,1.3023200000000001,1.42666,1.480633020401,1.3430000000000002,1.38,1.326501608
2,Denmark,1.32548,1.4417799999999998,1.48238301277161,1.351,1.383,1.326948524
3,Norway,1.459,1.57744,1.6164631843566901,1.456,1.4880000000000002,1.42420733
4,Canada,1.32629,1.44015,1.47920441627502,1.33,1.365,1.301647663
5,Finland,1.29025,1.40598,1.44357192516327,1.305,1.34,1.285189509
6,Netherlands,1.32944,1.46468,1.50394463539124,1.361,1.396,1.338946342
7,Sweden,1.33171,1.45181,1.49438726902008,1.355,1.3869999999999998,1.322235227
8,New Zealand,1.2501799999999998,1.36066,1.40570604801178,1.268,1.3030000000000002,1.242317915
9,Australia,1.33358,1.4444299999999999,1.4844149351120002,1.34,1.3719999999999999,1.310396433
10,Israel,1.2285700000000002,1.33766,1.3753824234008798,1.301,1.276,1.216463685
11,Costa Rica,0.95578,1.06879,1.10970628261566,1.01,1.034,0.981107712
12,Austria,1.33723,1.45038,1.4870972633361799,1.341,1.376,1.317285538
13,Mexico,1.02054,1.1150799999999998,1.1531838178634601,1.038,1.07,1.024387479
14,United States,1.3945100000000001,1.50796,1.54625928401947,1.3980000000000001,1.433,1.37398684
15,Brazil,0.98124,1.08754,1.1073532104492199,0.986,1.004,0.952679873
16,Luxembourg,1.5639100000000001,1.6975200000000001,1.74194359779358,1.5759999999999998,1.609,1.536676049
17,Ireland,1.33596,1.4834100000000001,1.5357066392898602,1.4480000000000002,1.499,1.446886778
18,Belgium,1.30782,1.42539,1.4637807607650801,1.324,1.3559999999999999,1.2958427670000001
19,United Arab Emirates,1.42727,1.57352,1.6263433694839498,2.096,1.5030000000000001,1.4310864209999998
20,United Kingdom,1.26637,1.40283,1.44163393974304,1.244,1.3330000000000002,1.273061037
21,Oman,1.36011,1.26825,1.28503257036209,1.12,1.1465,1.0216498375
22,Venezuela,1.04424,1.1336700000000002,1.12843120098114,0.996,0.96,0.7702386379999999
23,Singapore,1.52186,1.64555,1.69227766990662,1.5290000000000001,1.5719999999999998,1.519580126
24,Panama,1.0635299999999999,1.18306,1.23374843597412,1.112,1.149,1.097667813
25,Germany,1.32792,1.44787,1.48792338371277,1.34,1.3730000000000002,1.314184546
26,Chile,1.10715,1.2167,1.25278460979462,1.131,1.159,1.096992493
27,Qatar,1.69042,1.82427,1.8707656860351598,1.649,1.6840000000000002,1.1825609209999999
28,France,1.27778,1.39488,1.43092346191406,1.2930000000000001,1.324,1.268129349
29,Argentina,1.05351,1.15137,1.18529546260834,1.073,1.092,1.028465629
30,Czech Republic,1.17898,1.30915,1.35268235206604,1.2329999999999999,1.2690000000000001,1.212322354
31,Uruguay,1.06166,1.18157,1.2175596952438401,1.093,1.124,1.071000457
32,Colombia,0.91861,1.0303200000000001,1.07062232494354,0.96,0.985,0.93220371
33,Thailand,0.9669,1.0893,1.12786877155304,1.016,1.05,1.007029295
34,Saudi Arabia,1.39541,1.48953,1.53062355518341,1.379,1.403,1.334328532
35,Spain,1.23011,1.34253,1.38439786434174,1.251,1.286,1.230535269
36,Malta,1.2074,1.30782,1.34327983856201,1.27,1.3,1.2525132890000001
37,Taiwan,1.29098,1.39729,1.48811614513397,1.3719999999999999,1.4,1.338673472
38,Kuwait,1.5542200000000002,1.61714,1.63295245170593,1.474,1.5,1.424833655
39,Suriname,0.99534,1.09686,1.4971541762351999,1.2513333333333332,1.2646666666666666,1.199535906
40,Trinidad and Tobago,1.21183,1.32572,1.36135590076447,1.0286666666666666,1.0293333333333334,0.974238157
41,El Salvador,0.76454,0.8737,0.9097844958305359,0.8059999999999999,0.794,0.748940408
42,Guatemala,0.74553,0.83454,0.872001945972443,0.7809999999999999,0.8,0.7538157109999999
43,Uzbekistan,0.63244,0.7359100000000001,0.786441087722778,0.7190000000000001,0.745,0.6966529490000001
44,Slovakia,1.1689100000000001,1.27973,1.32539355754852,1.21,1.246,1.194837689
45,Japan,1.27074,1.3800700000000001,1.41691517829895,1.294,1.327,1.26672411
46,South Korea,1.24461,1.35948,1.40167844295502,1.266,1.301,1.245300651
47,Ecuador,0.8640200000000001,0.97306,1.00082039833069,0.889,0.912,0.853383601
48,Bahrain,1.32376,1.44024,1.4884122610092199,1.338,1.3619999999999999,1.296692252
49,Italy,1.25114,1.35495,1.3950666189193701,1.264,1.294,1.236396074
50,Bolivia,0.68133,0.79422,0.833756566047668,0.7509999999999999,0.7759999999999999,0.7309763429999999
51,Moldova,0.59448,0.69177,0.7288706302642819,0.657,0.685,0.7079167959999999
52,Paraguay,0.75985,0.8937299999999999,0.932537317276001,0.835,0.855,0.897990823
53,Kazakhstan,1.1225399999999999,1.22943,1.2845562696456898,1.143,1.173,1.122594237
54,Slovenia,1.18498,1.2994700000000001,1.3412059545516999,1.219,1.258,1.208652496
55,Lithuania,1.14723,1.2692,1.3145823478698702,1.197,1.238,1.193559647
56,Nicaragua,0.59325,0.69384,0.737299203872681,0.6679999999999999,0.6940000000000001,0.620033145
57,Peru,0.9001899999999999,0.9960200000000001,1.0352252721786501,0.934,0.96,0.91854918
58,Belarus,1.0319200000000002,1.1306200000000002,1.15655755996704,1.0390000000000001,1.067,1.0188544990000001
59,Poland,1.12555,1.24585,1.29178786277771,1.176,1.206,1.16922915
60,Malaysia,1.12486,1.25142,1.29121541976929,1.161,1.2209999999999999,1.168421626
61,Croatia,1.08254,1.18649,1.22255623340607,1.115,1.155,1.109024286
62,Libya,1.13145,1.0668799999999998,1.1018030643463101,0.985,1.044,1.021913767
63,Russia,1.13764,1.2322799999999998,1.28177809715271,1.151,1.183,1.126999617
64,Jamaica,0.81038,0.89333,0.925579309463501,0.8190000000000001,0.831,0.779058397
65,North Cyprus,1.2080600000000001,1.31141,1.3469113111496,1.024,1.047,0.9959289135
66,Cyprus,1.20813,1.31857,1.3559380769729599,1.229,1.263,1.21279943
67,Algeria,0.93929,1.05266,1.09186446666718,0.9790000000000001,1.002,0.9438560009999999
68,Kosovo,0.80148,0.90145,0.951484382152557,0.855,0.882,0.8404813409999999
69,Turkmenistan,0.95847,1.08017,1.1307767629623402,1.016,1.052,1.008963585
70,Mauritius,1.0076100000000001,1.14372,1.1893955469131499,1.09,1.12,1.07366395
71,Hong Kong,1.38604,1.5107,1.25513744354248,1.145,1.1785,1.1330525875
