,Country name,Generosity 2015,Generosity 2016,Generosity 2017,Generosity 2018,Generosity 2019,Generosity 2020
0,Switzerland,0.29678000000000004,0.28083,0.29054927825927696,0.256,0.263,0.269055754
1,Iceland,0.4363,0.47678000000000004,0.47554022073745705,0.353,0.354,0.362330228
2,Denmark,0.34139,0.36171,0.3552804887294771,0.284,0.252,0.24279339600000002
3,Norway,0.34699,0.37895,0.36201223731041,0.28600000000000003,0.271,0.287985086
4,Canada,0.45811,0.44833999999999996,0.435539722442627,0.321,0.285,0.28152892
5,Finland,0.23351,0.25492,0.24548277258873,0.20199999999999999,0.153,0.159670442
6,Netherlands,0.4761,0.47416,0.47048982977867104,0.33299999999999996,0.322,0.336317569
7,Sweden,0.36262,0.38254,0.38539925217628496,0.285,0.267,0.272827893
8,New Zealand,0.47501000000000004,0.49401000000000006,0.500005125999451,0.365,0.33,0.325726211
9,Australia,0.43562,0.47407,0.47769924998283403,0.361,0.332,0.324973613
10,Israel,0.33171999999999996,0.32288,0.330082654953003,0.354,0.261,0.26686179600000004
11,Costa Rica,0.25497,0.22553,0.21461322903633104,0.14300000000000002,0.14400000000000002,0.131266311
12,Austria,0.33088,0.32865,0.316472321748734,0.242,0.244,0.255509764
13,Mexico,0.14074,0.11735,0.12099043279886199,0.069,0.07400000000000001,0.083094485
14,United States,0.40105,0.41076999999999997,0.392578780651093,0.29100000000000004,0.28,0.298143059
15,Brazil,0.14574,0.15775999999999998,0.16234989464282998,0.11,0.099,0.131674588
16,Luxembourg,0.28034000000000003,0.27571,0.283180981874466,0.196,0.19399999999999998,0.19595392
17,Ireland,0.45901000000000003,0.44963000000000003,0.42785832285881,0.307,0.298,0.295426995
18,Belgium,0.2225,0.2424,0.23150333762168898,0.188,0.16,0.146966159
19,United Arab Emirates,0.26428,0.26591,0.3609419465065,0.18600000000000003,0.262,0.28065598
20,United Kingdom,0.51912,0.50156,0.492774158716202,0.262,0.348,0.37343344100000003
21,Oman,0.21541999999999997,0.27203,0.27889689430594455,0.159,0.206,0.23030629750000003
22,Venezuela,0.058410000000000004,0.0425,0.0650196298956871,0.055999999999999994,0.064,0.08717915400000001
23,Singapore,0.31105,0.32706,0.345965981483459,0.261,0.271,0.21877090600000001
24,Panama,0.24434,0.2418,0.21055693924427,0.125,0.109,0.097207308
25,Germany,0.28214,0.30451999999999996,0.33626917004585305,0.273,0.261,0.252037704
26,Chile,0.33363000000000004,0.31595,0.3266624212265011,0.19699999999999998,0.187,0.155579001
27,Qatar,0.32573,0.32388,0.33047387003898604,0.256,0.22,0.134093352
28,France,0.12332,0.1216,0.129762306809425,0.098,0.111,0.112607703
29,Argentina,0.11450999999999999,0.10989000000000002,0.109457060694695,0.062,0.066,0.070100471
30,Czech Republic,0.10686,0.09929,0.0881067588925362,0.064,0.046,0.046325929
31,Uruguay,0.2324,0.18056,0.175096929073334,0.13,0.127,0.132143691
32,Colombia,0.18400999999999998,0.15625999999999998,0.14901447296142598,0.099,0.099,0.092374094
33,Thailand,0.5763,0.58696,0.572123110294342,0.364,0.359,0.376709014
34,Saudi Arabia,0.13706,0.15457,0.147616013884544,0.098,0.08,0.087440684
35,Spain,0.18227000000000002,0.17665,0.190133571624756,0.142,0.153,0.16530548
36,Malta,0.51752,0.56237,0.5747305750846861,0.376,0.375,0.341180831
37,Taiwan,0.25376,0.25495,0.40151018649339654,0.27149999999999996,0.2585,0.2369659615
38,Kuwait,0.16228,0.15965,0.228289797902107,0.16699999999999998,0.142,0.132751092
39,Suriname,0.16990999999999998,0.16665,0.2767931297421455,0.13299999999999998,0.12566666666666665,0.12814616133333334
40,Trinidad and Tobago,0.31844,0.31935,0.32529646158218395,0.09899999999999999,0.10933333333333334,0.12354123066666667
41,El Salvador,0.10692,0.08877,0.0782579854130745,0.065,0.09300000000000001,0.11893630000000001
42,Guatemala,0.27489,0.28808,0.283488392829895,0.179,0.175,0.170611665
43,Uzbekistan,0.22837,0.34326,0.41598364710807795,0.32799999999999996,0.322,0.36331102299999996
44,Slovakia,0.16893,0.13837,0.136544480919838,0.11800000000000001,0.121,0.11672977400000001
45,Japan,0.10705,0.10224,0.12057276815175999,0.079,0.069,0.03571178
46,South Korea,0.18557,0.18824000000000002,0.206674367189407,0.175,0.175,0.17030386600000003
47,Ecuador,0.11540999999999998,0.10074,0.15011246502399403,0.114,0.126,0.115006477
48,Bahrain,0.17362,0.17147,0.17266848683357197,0.243,0.255,0.287453711
49,Italy,0.22823000000000002,0.16684000000000002,0.17278964817523998,0.13699999999999998,0.158,0.17026621100000003
50,Bolivia,0.20536,0.21698,0.22556072473526,0.141,0.13699999999999998,0.13837507400000001
51,Moldova,0.20951,0.19997,0.20877912640571603,0.171,0.18100000000000002,0.174049184
52,Paraguay,0.3424,0.25296,0.224150657653809,0.162,0.184,0.20429924100000002
53,Kazakhstan,0.11827,0.15011,0.20196442306041698,0.14800000000000002,0.146,0.15371379300000002
54,Slovenia,0.25328,0.25738,0.242649093270302,0.16,0.14400000000000002,0.145701498
55,Lithuania,0.026410000000000003,0.02025,0.010164656676352,0.026000000000000002,0.043,0.053691040999999995
56,Nicaragua,0.27815,0.29773,0.301674216985703,0.20800000000000002,0.2,0.212871477
57,Peru,0.14982,0.14527,0.126819714903831,0.092,0.083,0.091611817
58,Belarus,0.11045999999999999,0.13942000000000002,0.15513750910759,0.10099999999999999,0.094,0.08993306
59,Poland,0.16759000000000002,0.14443,0.158465966582298,0.10800000000000001,0.11699999999999999,0.06337424400000001
60,Malaysia,0.33075,0.41473999999999994,0.416608929634094,0.311,0.26,0.274886161
61,Croatia,0.054439999999999995,0.18434,0.248002976179123,0.12,0.11900000000000001,0.113998979
62,Libya,0.18295,0.17087,0.15207366645336198,0.11599999999999999,0.133,0.14275769900000002
63,Russia,0.00199,0.027360000000000002,0.0522638224065304,0.065,0.08199999999999999,0.099041916
64,Jamaica,0.2123,0.22245,0.23381833732128102,0.096,0.107,0.116268493
65,North Cyprus,0.26169000000000003,0.26322,0.266845703125,0.149,0.1485,0.1721004135
66,Cyprus,0.30638000000000004,0.27906,0.271254301071167,0.20199999999999999,0.19,0.227932334
67,Algeria,0.07822,0.07044,0.0694366469979286,0.055,0.073,0.118915014
68,Kosovo,0.2831,0.27992,0.319931447505951,0.27399999999999997,0.262,0.325286865
69,Turkmenistan,0.16979,0.22566999999999998,0.24992498755454998,0.19899999999999998,0.244,0.323129326
70,Mauritius,0.37744,0.36951,0.360933750867844,0.245,0.215,0.18689455100000002
71,Hong Kong,0.39478,0.40097,0.22991228103637718,0.16549999999999998,0.159,0.15601564950000002
72,Estonia,0.0868,0.08423,0.0988908112049103,0.086,0.10300000000000001,0.12513674800000002
73,Indonesia,0.51535,0.56521,0.611704587936401,0.484,0.498,0.542646527
74,Vietnam,0.1686,0.25075,0.23496805131435397,0.177,0.147,0.136488721
75,Turkey,0.12253,0.04707,0.0466930419206619,0.106,0.083,0.08588556900000001
76,Kyrgyzstan,0.3003,0.38432,0.42858037352562,0.281,0.3,0.30137074
77,Nigeria,0.27233,0.23219,0.23094719648361198,0.201,0.215,0.221328124
78,Bhutan,0.47998,0.48546000000000006,0.474054545164108,0.364,0.37,0.130720669
79,Azerbaijan,0.07799,0.0564,0.0452693402767181,0.031,0.035,0.040113214
80,Pakistan,0.33671,0.31185,0.31544601917266807,0.21600000000000003,0.22,0.22870506300000001
81,Jordan,0.11052999999999999,0.14262,0.17217046022415197,0.13,0.11,0.091494769
82,Montenegro,0.1614,0.17190999999999998,0.197911024093628,0.111,0.142,0.14901033
83,China,0.08185,0.049589999999999995,0.0288068410009146,0.028999999999999998,0.057999999999999996,0.079021044
84,Zambia,0.19591,0.17865999999999999,0.249580144882202,0.221,0.247,0.250620902
85,Romania,0.13748,0.12889,0.133519917726517,0.08800000000000001,0.083,0.068181619
86,Serbia,0.19230999999999998,0.20736999999999997,0.22012588381767298,0.134,0.13699999999999998,0.15028289
87,Portugal,0.13719,0.11690999999999999,0.0951027125120163,0.055,0.047,0.053036947
88,Latvia,0.18225999999999998,0.17445,0.153074786067009,0.092,0.075,0.075407945
89,Philippines,0.24991,0.21674000000000002,0.193513423204422,0.12,0.11699999999999999,0.12926021199999999
90,Somaliland region,0.5031800000000001,0.128635,0.11286168918013575,0.073,0.0765,0.08464638149999999
91,Morocco,0.07172,0.040530000000000004,0.0322099551558495,0.026000000000000002,0.036000000000000004,0.040032551
92,Macedonia,0.22359,0.23506999999999997,0.25376096367836,0.17300000000000001,0.08333333333333334,0.08369762233333333
