,Country name,Social support 2015,Social support 2016,Social support 2017,Social support 2018,Social support 2019,Social Support 2020
83,China,0.94675,0.79381,1.160837412,1.142,1.125,1.132080674
84,Zambia,0.91612,0.6376,1.003187299,1.047,1.058,0.896037281
85,Romania,0.88588,0.72803,1.15009129,1.219,1.232,1.1944381
86,Serbia,1.00964,0.81329,1.258189797,1.369,1.383,1.327448964
87,Portugal,1.13935,0.94367,1.367043018,1.429,1.431,1.339530349
88,Latvia,1.09562,0.95025,1.404714942,1.454,1.465,1.414398789
89,Philippines,1.03516,0.87877,1.253917575,1.312,1.293,1.245381713
90,Somaliland region,0.95152,0.63236,1.014391005,1.0545,1.0375,0.945295095
91,Morocco,0.64095,0.38595,0.774864435,0.797,0.782,0.645208478
92,Macedonia,1.00232,0.78236,1.207893014,1.239,0.804,0.706966956
93,Mozambique,1.02626,0.641995,1.005789131,1.028,0.826,0.768725435
94,Albania,0.80434,0.50163,0.803685248,0.817,0.848,0.830483913
95,Bosnia and Herzegovina,0.91916,0.64367,1.069335938,1.078,1.212,1.203986526
96,Lesotho,1.04103,0.819315,1.235876322,1.2595,1.3065,1.26643771
97,Dominican Republic,1.17202,0.99496,1.402416706,1.441,1.401,1.328888893
98,Laos,0.73803,0.5497,1.447713971,1.479,1.466,1.393909753
99,Mongolia,1.3006,1.08983,1.493011236,1.517,1.531,1.458930612
100,Swaziland,1.07284,0.92228,1.366212904,1.3595,1.3435,1.313952088
101,Greece,0.92933,0.75473,1.239414573,1.202,1.156,1.168973565
102,Lebanon,0.80001,0.64184,1.129624248,1.179,1.224,1.19249332
103,Hungary,1.20215,0.93164,1.343133092,1.401,1.41,1.423009396
104,Honduras,0.95348,0.75596,1.143944979,1.205,1.236,1.186664104
105,Tajikistan,0.85563,0.75602,1.271463275,1.166,1.098,1.218377709
106,Tunisia,0.60429,0.43165,0.86835146,0.906,1,0.872167706
107,Palestinian Territories,0.92558,0.71629,1.155647159,1.217,1.247,1.194755554
108,Bangladesh,0.43106,0.24749,0.735131741,0.85,0.928,0.868800581
109,Iran,0.54447,0.38857,0.711551249,0.771,0.842,0.886271179
110,Ukraine,1.20278,1.01413,1.394537568,1.413,1.39,1.321316481
111,Iraq,0.81889,0.59205,0.978613198,0.971,0.98,1.011466622
112,South Africa,1.18468,0.96053,1.384788632,1.41,1.351,1.259086251
113,Ghana,0.67954,0.49353,0.873664737,0.896,0.868,0.96636796
114,Zimbabwe,1.03276,0.71478,1.083095908,1.094,1.114,1.047835231
115,Liberia,0.78968,0.50353,0.872117937,0.858,0.922,0.920733929
116,India,0.38174,0.29247,0.754372597,0.747,0.765,0.644198656
117,Sudan,1.01404,0.81928,1.21400857,1.24,0.7265,0.645435006
118,Haiti,0.74302,0.29561,0.640449822,0.714,0.688,0.646671355
119,Congo (Kinshasa),1.0012,0.80676,1.229023457,1.136,1.125,0.833055019
120,Nepal,0.86449,0.69699,1.179283261,1.228,1.226,1.100789309
121,Ethiopia,0.60406,0.37932,0.864669204,0.95,1.033,1.001103282
122,Sierra Leone,0.95571,0.628,0.984136045,0.813,0.841,0.747984946
123,Mauritania,0.86908,0.84142,1.27203083,1.245,1.167,1.113323569
124,Kenya,0.99876,0.7624,1.067950726,1.048,0.983,0.905077755
125,Djibouti,0.59207,0.693585,1.037717223,1.019,1.019,0.969827324
126,Armenia,0.77711,0.62477,1.007483721,0.99,1.055,1.034576893
127,Botswana,1.10464,0.89186,1.221554995,1.174,1.145,1.08569479
128,Myanmar,0.70905,0.69981,1.123235941,1.174,1.181,1.098178267
129,Georgia,0.38562,0.19249,0.570614934,0.592,0.666,0.7311939
130,Malawi,0.41134,0.147,0.512568831,0.541,0.56,0.53036809
131,Sri Lanka,1.01905,0.84783,1.259976387,1.314,1.265,1.19494009
132,Cameroon,0.88767,0.62542,0.946018219,0.891,0.91,0.89972645
